survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.0111,0.3425,0.2592,0.265,0.2733,-0.0058,0.0833,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0175,0.3358,0.24,0.2542,0.2733,-0.0142,0.0958,
afrobarometer,Q18,Angola,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0118,0.3392,0.2525,0.2703,0.2733,-0.0178,0.0867,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.3731,0.4704,0.4604,0.4099,0.4277,0.0505,0.01,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.3636,0.4703,0.4236,0.3891,0.4277,0.0345,0.0467,
afrobarometer,Q18,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.4167,0.4562,0.4211,0.4005,0.4277,0.0206,0.0351,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,12,0.209,0.4704,0.3943,0.4099,0.4277,-0.0156,0.0761,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.3636,0.4703,0.3935,0.3891,0.4277,0.0044,0.0768,
afrobarometer,Q18,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2333,0.4562,0.3651,0.4005,0.4277,-0.0354,0.0911,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,model,10,0.0494,0.4667,0.4167,0.3898,0.435,0.0269,0.05,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0189,0.4633,0.4,0.392,0.435,0.008,0.0633,
afrobarometer,Q15,Mali,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0494,0.4667,0.4167,0.3898,0.435,0.0269,0.05,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,model,15,0.0385,0.4808,0.42,0.4018,0.435,0.0182,0.0608,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.4633,0.4267,0.392,0.435,0.0347,0.0366,
afrobarometer,Q15,Mali,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0123,0.4667,0.4075,0.3898,0.435,0.0177,0.0592,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.0875,0.4547,0.6746,0.4053,0.3466,0.2693,-0.2199,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0865,0.4555,0.6658,0.3699,0.3466,0.2959,-0.2103,
arabbarometer,Q534_2,Iraq,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0875,0.4547,0.6746,0.4053,0.3466,0.2693,-0.2199,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.288,0.4705,0.4572,0.4045,0.3466,0.0527,0.0133,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.1827,0.4555,0.4551,0.3699,0.3466,0.0852,0.0004,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.3081,0.4551,0.446,0.4031,0.3466,0.0429,0.0091,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,13,0.1667,0.6583,0.5819,0.5546,0.5556,0.0273,0.0764,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.2143,0.6243,0.5308,0.5408,0.5556,-0.01,0.0935,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.1818,0.6587,0.5822,0.553,0.5556,0.0292,0.0765,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.1304,0.6757,0.5725,0.5479,0.5556,0.0246,0.1032,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.2143,0.6243,0.5717,0.5408,0.5556,0.0309,0.0526,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.1364,0.6587,0.5217,0.553,0.5556,-0.0313,0.137,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.0452,0.518,0.4018,0.3963,0.3266,0.0055,0.1162,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0472,0.4319,0.3258,0.3446,0.3266,-0.0188,0.1061,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0486,0.5105,0.3776,0.3941,0.3266,-0.0165,0.1329,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.0452,0.518,0.4043,0.3963,0.3266,0.008,0.1137,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.4319,0.32,0.3446,0.3266,-0.0246,0.1119,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0378,0.5105,0.3977,0.3941,0.3266,0.0036,0.1128,
