survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4038,0.4555,0.4318,0.3699,0.3466,0.0619,0.0237,
arabbarometer,Q534_2,Iraq,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.275,0.4547,0.4514,0.4053,0.3466,0.0461,0.0033,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.1667,0.6837,0.5986,0.5518,0.5556,0.0468,0.0851,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.2857,0.6243,0.5902,0.5408,0.5556,0.0494,0.0341,
arabbarometer,Q501E_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,8,0.2,0.6496,0.5812,0.5454,0.5556,0.0358,0.0684,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,14,0.1667,0.6583,0.5725,0.5625,0.5556,0.01,0.0858,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.25,0.5475,0.5384,0.5341,0.5556,0.0043,0.0091,
arabbarometer,Q501E_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.1905,0.65,0.6069,0.5487,0.5556,0.0582,0.0431,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,10,0.0541,0.5105,0.4044,0.3941,0.3266,0.0103,0.1061,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0472,0.4319,0.3743,0.3446,0.3266,0.0297,0.0576,
arabbarometer,Q630,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0585,0.4929,0.4068,0.3821,0.3266,0.0247,0.0861,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,18,0.1315,0.5481,0.4996,0.4357,0.3266,0.0639,0.0485,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0849,0.4319,0.386,0.3446,0.3266,0.0414,0.0459,
arabbarometer,Q630,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0541,0.5105,0.4077,0.3941,0.3266,0.0136,0.1028,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.102,0.53,0.6117,0.4378,0.3867,0.1739,-0.0817,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1515,0.4817,0.5625,0.4126,0.3867,0.1499,-0.0808,
arabbarometer,Q534_2,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.102,0.53,0.6117,0.4378,0.3867,0.1739,-0.0817,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.2193,0.5392,0.5808,0.4487,0.3867,0.1321,-0.0416,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.3788,0.4817,0.3908,0.4126,0.3867,-0.0218,0.0909,
arabbarometer,Q534_2,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.2358,0.5375,0.5458,0.4383,0.3867,0.1075,-0.0083,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.0625,0.3791,0.6291,0.3523,0.3063,0.2768,-0.25,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.3105,0.6299,0.3165,0.3063,0.3134,-0.3194,
arabbarometer,Q534_2,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0625,0.3791,0.6291,0.3523,0.3063,0.2768,-0.25,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.0357,0.3791,0.697,0.3523,0.3063,0.3447,-0.3179,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.069,0.3262,0.5107,0.3104,0.3063,0.2003,-0.1845,
arabbarometer,Q534_2,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.0357,0.3791,0.697,0.3523,0.3063,0.3447,-0.3179,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,model,9,0.0238,0.4108,0.4249,0.366,0.3793,0.0589,-0.0141,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.4058,0.371,0.3636,0.3793,0.0074,0.0348,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.0238,0.4108,0.4249,0.366,0.3793,0.0589,-0.0141,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.3478,0.4141,0.39,0.3702,0.3793,0.0198,0.0241,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.4058,0.3544,0.3636,0.3793,-0.0092,0.0514,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.1136,0.4083,0.3876,0.3666,0.3793,0.021,0.0207,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,15,0.3571,0.8217,0.9875,0.8648,0.7775,0.1227,-0.1658,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.4552,0.7733,0.7558,0.8109,0.7775,-0.0551,0.0175,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.4213,0.7975,0.7617,0.8415,0.7775,-0.0798,0.0358,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,17,0.5734,0.8233,0.825,0.9389,0.7775,-0.1139,-0.0017,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.7517,0.7733,0.7633,0.8109,0.7775,-0.0476,0.01,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.6555,0.81,0.7942,0.8657,0.7775,-0.0715,0.0158,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.0119,0.8604,0.5455,0.6028,0.5,-0.0573,0.3149,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0119,0.8604,0.5455,0.6028,0.5,-0.0573,0.3149,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.0119,0.8604,0.5455,0.6028,0.5,-0.0573,0.3149,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,5,0.0496,0.8604,0.6799,0.6028,0.5,0.0771,0.1805,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0496,0.8604,0.6799,0.6028,0.5,0.0771,0.1805,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,5,0.0496,0.8604,0.6799,0.6028,0.5,0.0771,0.1805,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,14,0.01,0.5519,0.2338,0.291,0.2805,-0.0572,0.3181,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.561,0.2188,0.2645,0.2805,-0.0457,0.3422,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0037,0.5513,0.2279,0.2642,0.2805,-0.0363,0.3234,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,13,0.6463,0.5422,0.5981,0.2904,0.2805,0.3077,-0.0559,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.7813,0.561,0.5636,0.2645,0.2805,0.2991,-0.0026,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.6852,0.5513,0.5851,0.2642,0.2805,0.3209,-0.0338,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.5484,0.7201,0.6779,0.5438,0.5065,0.1341,0.0422,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.5484,0.7201,0.6779,0.5438,0.5065,0.1341,0.0422,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.5484,0.7201,0.6779,0.5438,0.5065,0.1341,0.0422,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,6,0.1985,0.7416,0.7052,0.5586,0.5065,0.1466,0.0364,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.2016,0.7201,0.674,0.5438,0.5065,0.1302,0.0461,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,6,0.1985,0.7416,0.7052,0.5586,0.5065,0.1466,0.0364,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,17,0.3197,0.3509,0.2545,0.2351,0.2414,0.0194,0.0964,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1983,0.3559,0.2224,0.2361,0.2414,-0.0137,0.1335,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.3434,0.3411,0.2727,0.2444,0.2414,0.0283,0.0684,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,13,0.2362,0.3452,0.2496,0.2396,0.2414,0.01,0.0956,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.1777,0.3559,0.243,0.2361,0.2414,0.0069,0.1129,
